City,Lat,Lng,Country,Max Temp (C),Humidity,Cloudiness,Wind Speed (Kmph),Date
Puerto Escondido,15.85,-97.0667,MX,24.46,64,40,0.0,1624192490
Punta Arenas,-53.15,-70.9167,CL,3.06,81,0,3.6,1624192491
Hearst,49.6835,-83.6665,CA,14.14,77,100,2.35,1624192491
Rikitea,-23.1203,-134.9692,PF,23.82,77,87,8.93,1624192491
Ushuaia,-54.8,-68.3,AR,1.81,80,20,2.06,1624192491
São João da Barra,-21.6403,-41.0511,BR,22.05,68,42,6.77,1624192492
Vaini,-21.2,-175.2,TO,19.09,100,20,1.03,1624192492
Saldanha,-33.0117,17.9442,ZA,28.03,39,1,7.95,1624192492
Awjilah,29.1081,21.2869,LY,34.09,16,0,4.69,1624192492
Bluff,-46.6,168.3333,NZ,3.22,85,9,5.7,1624192493
Hermanus,-34.4187,19.2345,ZA,28.28,52,2,1.95,1624192493
Ribeira Grande,38.5167,-28.7,PT,23.22,49,20,4.12,1624192493
Kapaa,22.0752,-159.319,US,24.18,81,20,4.63,1624192493
Kaitangata,-46.2817,169.8464,NZ,6.85,91,26,2.08,1624192494
Basco,20.4487,121.9702,PH,28.75,86,100,11.89,1624192494
Biak,-0.9131,122.8766,ID,24.72,84,100,2.19,1624192494
Kananga,-5.8958,22.4178,CD,34.58,21,40,2.37,1624192494
Hithadhoo,-0.6,73.0833,MV,28.18,72,100,3.22,1624192208
Saskylakh,71.9167,114.0833,RU,28.22,27,71,4.95,1624192495
Pevek,69.7008,170.3133,RU,6.76,71,8,1.95,1624192495
Jamestown,42.097,-79.2353,US,20.29,95,90,0.89,1624192495
Bāsār,27.9833,94.6667,IN,22.95,99,89,0.7,1624192496
Praia,14.9215,-23.5087,CV,26.3,57,20,8.23,1624192496
Celano,42.0855,13.5398,IT,32.19,40,100,0.45,1624192496
Busselton,-33.65,115.3333,AU,7.78,96,100,2.68,1624192222
Ulladulla,-35.35,150.4667,AU,10.61,81,73,3.81,1624192497
Valparaíso,-33.0393,-71.6273,CL,12.49,80,75,2.06,1624192497
Tiznit Province,29.5833,-9.5,MA,23.49,44,2,4.96,1624192497
California City,35.1258,-117.9859,US,29.67,25,1,0.45,1624192498
Mataura,-46.1927,168.8643,NZ,3.04,97,39,1.75,1624192498
Poum,-20.2333,164.0167,NC,22.36,66,82,5.28,1624192498
Vanavara,60.34,102.2797,RU,19.33,63,90,1.93,1624192498
Prince Rupert,54.3161,-130.3201,CA,12.83,96,1,0.0,1624192499
Coyhaique,-45.5752,-72.0662,CL,3.34,93,75,2.06,1624192499
Mumford,5.2618,-0.759,GH,27.36,73,100,5.65,1624192499
Iralaya,15.0,-83.2333,HN,25.05,80,10,5.06,1624192499
San Patricio,28.017,-97.5169,US,29.93,84,35,4.21,1624192499
Stornoway,58.2093,-6.3865,GB,15.98,48,40,5.66,1624192500
Bredasdorp,-34.5322,20.0403,ZA,29.0,23,11,5.14,1624192251
Zhezkazgan,47.8043,67.7144,KZ,27.22,24,87,9.19,1624192500
Hobart,-42.8794,147.3294,AU,6.17,92,0,0.89,1624192495
San Vicente,-26.6167,-54.1333,AR,11.79,96,97,0.58,1624192501
Gamba,-2.65,10.0,GA,25.71,75,100,4.19,1624192501
Hilo,19.7297,-155.09,US,22.93,79,20,2.57,1624192501
Tuatapere,-46.1333,167.6833,NZ,3.23,94,16,1.61,1624192501
Lebu,-37.6167,-73.65,CL,8.23,78,99,3.41,1624192502
Khatanga,71.9667,102.5,RU,27.32,35,97,2.98,1624192502
Albany,42.6001,-73.9662,US,22.12,80,10,1.6,1624192503
Matara,5.9485,80.5353,LK,27.38,79,88,5.77,1624192204
Ancud,-41.8697,-73.8203,CL,5.74,83,100,1.88,1624192503
Atuona,-9.8,-139.0333,PF,26.15,73,58,9.75,1624192503
Saint-Philippe,-21.3585,55.7679,RE,24.75,81,84,7.76,1624192504
Pandan,14.0453,124.1694,PH,27.55,85,100,4.2,1624192504
Puerto Ayora,-0.7393,-90.3518,EC,23.08,89,99,3.58,1624192504
Kavieng,-2.5744,150.7967,PG,27.4,77,90,4.89,1624192504
De Aar,-30.6497,24.0123,ZA,19.85,27,0,4.63,1624192261
Qaanaaq,77.484,-69.3632,GL,3.07,59,0,2.18,1624192505
Wagar,16.1525,36.2032,SD,35.91,29,76,4.55,1624192505
Dukat,62.55,155.55,RU,5.44,73,73,2.82,1624192505
Esperance,-33.8667,121.9,AU,12.0,66,40,4.12,1624192241
Butaritari,3.0707,172.7902,KI,27.99,71,10,2.83,1624192506
Zhigansk,66.7697,123.3711,RU,23.13,47,100,2.1,1624192506
Linxia Chengguanzhen,35.6003,103.2064,CN,16.58,49,97,0.79,1624192506
Cape Town,-33.9258,18.4232,ZA,26.23,28,0,6.17,1624192507
Kunashak,55.7032,61.5498,RU,23.29,42,0,9.4,1624192507
Moosomin,50.1333,-101.6677,CA,10.74,88,15,5.8,1624192507
Makokou,0.5738,12.8642,GA,29.19,70,75,1.21,1624192507
Laas,46.6166,10.7002,IT,27.57,64,100,2.84,1624192508
North Platte,41.1239,-100.7654,US,13.94,94,1,0.0,1624192508
East London,-33.0153,27.9116,ZA,31.52,18,0,6.69,1624192508
Port Elizabeth,-33.918,25.5701,ZA,31.0,19,0,3.6,1624192321
Barrow,71.2906,-156.7887,US,0.01,86,90,5.14,1624192509
Sokoto,13.0609,5.239,NG,34.67,34,44,5.09,1624192509
Verāval,20.9,70.3667,IN,29.11,77,2,7.78,1624192509
Sur,22.5667,59.5289,OM,31.82,63,100,2.26,1624192509
Torbay,47.6666,-52.7314,CA,19.43,68,40,6.69,1624192510
New Norfolk,-42.7826,147.0587,AU,5.97,87,0,1.15,1624192510
Tautira,-17.7333,-149.15,PF,26.01,80,100,6.54,1624192511
Rivadavia,-33.1905,-68.4608,AR,5.26,81,0,0.73,1624192511
Darhan,49.4867,105.9228,MN,20.76,49,10,2.04,1624192511
Samarai,-10.6167,150.6667,PG,26.14,79,100,5.39,1624192511
Port Hawkesbury,45.6169,-61.3485,CA,19.88,92,40,2.06,1624192512
Jilib,0.4883,42.7854,SO,30.39,45,13,7.28,1624192512
Lüderitz,-26.6481,15.1594,NA,27.74,27,0,0.86,1624192222
Bahía Blanca,-38.7196,-62.2724,AR,6.94,77,100,4.62,1624192512
Bengkulu,-3.8004,102.2655,ID,25.76,82,84,2.02,1624192513
Ca Mau,9.1769,105.15,VN,27.21,81,100,2.67,1624192500
Pisco,-13.7,-76.2167,PE,18.03,77,90,2.06,1624192513
Tasiilaq,65.6145,-37.6368,GL,2.09,61,39,3.45,1624192513
Los Aquijes,-14.0967,-75.6908,PE,15.37,71,65,1.24,1624192514
Arlit,18.7369,7.3853,NE,42.31,10,5,4.46,1624192514
Morros,-9.4467,-46.3003,BR,28.42,39,5,5.38,1624192514
Vestmannaeyjar,63.4427,-20.2734,IS,8.37,67,11,10.76,1624192515
Clyde River,70.4692,-68.5914,CA,3.13,93,75,1.54,1624192515
Beatrice,40.2681,-96.747,US,21.99,94,40,2.57,1624192515
Te Anau,-45.4167,167.7167,NZ,3.84,96,36,1.73,1624192231
Nyurba,63.2842,118.3319,RU,22.33,62,35,2.14,1624192516
Grayvoron,50.4767,35.6773,RU,27.49,67,100,6.3,1624192516
Lashio,22.9333,97.75,MM,20.65,97,4,1.3,1624192517
Husavik,66.0449,-17.3389,IS,8.95,69,75,2.66,1624192517
Zhangjiakou,40.81,114.8794,CN,24.67,26,100,1.12,1624192517
Buala,-8.145,159.5921,SB,26.37,77,99,1.15,1624192517
Nuuk,64.1835,-51.7216,GL,5.34,93,90,5.14,1624192517
Maceió,-9.6658,-35.7353,BR,24.69,94,75,2.57,1624192518
Bontang,0.1333,117.5,ID,25.36,86,100,1.74,1624192518
Arraial do Cabo,-22.9661,-42.0278,BR,23.98,69,0,4.63,1624192518
Pangnirtung,66.1451,-65.7125,CA,5.98,72,62,1.83,1624192518
Castro,-24.7911,-50.0119,BR,13.68,74,80,2.39,1624192519
Tuktoyaktuk,69.4541,-133.0374,CA,6.26,76,11,2.5,1624192519
Tehachapi,35.1322,-118.449,US,26.59,34,0,2.68,1624192519
Lagoa,39.05,-27.9833,PT,18.51,73,5,6.88,1624192519
Airai,-8.9266,125.4092,TL,14.13,94,41,1.73,1624192520
Bubaque,11.2833,-15.8333,GW,25.93,77,33,6.51,1624192520
Bathsheba,13.2167,-59.5167,BB,27.34,74,75,8.23,1624192520
Souillac,-20.5167,57.5167,MU,24.21,64,40,6.69,1624192520
Saint Paul Harbor,57.79,-152.4072,US,8.73,93,90,9.26,1624192521
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,RU,13.08,70,45,2.04,1624192521
Port Blair,11.6667,92.75,IN,30.0,74,40,4.63,1624192353
Verchères,45.7834,-73.3492,CA,21.94,68,10,2.06,1624192521
Harper,4.375,-7.7169,LR,23.48,95,100,1.29,1624192521
Zharkent,44.1628,80.0,KZ,22.42,19,36,9.76,1624192522
Jiwani,25.05,61.7417,PK,29.93,77,0,7.82,1624192522
Nikolskoye,59.7035,30.7861,RU,33.55,30,6,4.2,1624192522
Bambous Virieux,-20.3428,57.7575,MU,24.14,64,40,6.69,1624192522
Diamantino,-14.4086,-56.4461,BR,21.76,55,0,2.61,1624192523
Labuhan,-6.8844,112.2051,ID,26.7,78,98,1.28,1624192523
Faanui,-16.4833,-151.75,PF,26.54,74,0,3.57,1624192523
Swellendam,-34.0226,20.4417,ZA,28.21,32,81,3.24,1624192523
Santa María del Oro,25.9333,-105.3667,MX,18.76,64,63,0.8,1624192523
Darnah,32.767,22.6367,LY,26.42,58,0,8.55,1624192524
Kidal,18.4411,1.4078,ML,41.05,11,6,0.51,1624192524
Tongren,27.7172,109.1853,CN,22.49,94,100,1.12,1624192524
George Town,5.4112,100.3354,MY,28.27,80,40,0.89,1624192336
Marsh Harbour,26.5412,-77.0636,BS,27.91,80,100,6.22,1624192525
Provideniya,64.3833,-173.3,RU,11.35,60,12,0.97,1624192525
Meadow Lake,34.8014,-106.5436,US,24.53,34,2,2.07,1624192525
Yumen,40.2833,97.2,CN,26.82,14,0,5.0,1624192526
Mar del Plata,-38.0023,-57.5575,AR,6.18,58,40,7.15,1624192526
Hong Kong,22.2855,114.1577,HK,31.29,81,100,0.45,1624192486
Vanimo,-2.6741,141.3028,PG,25.86,85,91,1.98,1624192527
Bethel,41.3712,-73.414,US,23.29,83,1,1.54,1624192527
Coruripe,-10.1256,-36.1756,BR,25.83,84,52,5.53,1624192527
Kirakira,-10.4544,161.9205,SB,25.8,81,100,1.81,1624192527
Sechura,-5.5569,-80.8222,PE,19.73,79,84,5.11,1624192528
Adrar,20.5022,-10.0711,MR,36.56,9,1,4.7,1624192528
Sitka,57.0531,-135.33,US,13.94,82,90,0.0,1624192286
Argos,37.6333,22.7333,GR,31.55,53,67,2.24,1624192528
Thompson,55.7435,-97.8558,CA,6.09,75,40,3.6,1624192529
Vardø,70.3705,31.1107,NO,7.48,85,100,2.94,1624192529
Avarua,-21.2078,-159.775,CK,22.03,73,40,5.66,1624192529
Anadyr,64.75,177.4833,RU,8.28,75,0,2.0,1624192529
Khor,47.8861,134.9464,RU,13.36,78,93,1.97,1624192530
Hūn,29.1268,15.9477,LY,36.16,14,0,2.08,1624192530
Ajdabiya,30.7554,20.2263,LY,28.81,41,0,6.8,1624192530
Yamada,39.4667,141.95,JP,15.4,93,86,3.63,1624192312
Calderitas,18.55,-88.25,MX,28.89,89,75,5.14,1624192530
Carnarvon,-24.8667,113.6333,AU,15.04,54,100,1.54,1624192531
Huangmei,30.1924,116.025,CN,21.75,88,80,1.16,1624192531
Lavrentiya,65.5833,-171.0,RU,7.8,69,0,1.27,1624192531
Whitehorse,60.7161,-135.0538,CA,12.43,46,90,3.58,1624192531
Gouré,13.9835,10.2704,NE,37.23,23,10,3.91,1624192532
Carnduff,49.1667,-101.8009,CA,11.32,84,100,5.75,1624192532
Half Moon Bay,37.4636,-122.4286,US,15.61,90,90,0.45,1624192533
Dawlatabad,36.4141,64.9053,AF,33.91,7,0,8.9,1624192533
Manggar,-2.8833,108.2667,ID,26.68,79,100,1.68,1624192444
Nemuro,43.3236,145.575,JP,8.36,97,100,10.45,1624192473
Ossora,59.2353,163.0719,RU,5.96,94,100,4.78,1624192533
Aquiraz,-3.9014,-38.3911,BR,30.05,69,33,5.01,1624192534
Carbonia,39.1672,8.5222,IT,31.53,30,64,6.58,1624192534
Buchanan,5.8808,-10.0467,LR,24.98,78,100,3.86,1624192534
Kahramanmaraş Province,38.0,37.0,TR,26.35,30,4,4.38,1624192534
Cherskiy,68.75,161.3,RU,12.75,56,13,3.8,1624192535
Villa María,-32.4075,-63.2402,AR,6.97,75,0,3.67,1624192535
Longyearbyen,78.2186,15.6401,SJ,4.91,75,75,7.72,1624192535
Norman Wells,65.282,-126.8329,CA,10.02,62,20,2.06,1624192535
Bowen,-20.0167,148.2333,AU,10.12,68,5,2.75,1624192536
Caravelas,-17.7125,-39.2481,BR,25.18,61,85,3.34,1624192536
Huarmey,-10.0681,-78.1522,PE,18.86,88,100,3.89,1624192536
Udachny,66.4167,112.4,RU,23.96,46,41,2.64,1624192536
Talnakh,69.4865,88.3972,RU,7.33,97,100,3.03,1624192537
Fortuna,40.5982,-124.1573,US,12.4,90,1,0.0,1624192298
Jizan,17.3333,42.6667,SA,36.52,38,71,5.64,1624191839
Acheng,45.5454,126.977,CN,16.96,79,100,4.91,1624192537
San Quintín,30.4833,-115.95,MX,17.52,87,100,4.33,1624192537
Nattam,10.2333,78.2333,IN,34.25,36,100,4.75,1624192538
Yulara,-25.2406,130.9889,AU,10.91,50,0,3.09,1624192538
Ikalamavony,-21.15,46.5833,MG,20.22,57,17,5.98,1624192538
Nantucket,41.2835,-70.0995,US,23.87,83,1,6.17,1624192538
Santa Cruz de la Sierra,-17.8,-63.1667,BO,12.03,71,90,4.63,1624192539
Biltine,14.5333,20.9167,TD,38.66,17,17,2.86,1624192539
Beaver Dam,43.4578,-88.8373,US,19.28,100,1,0.0,1624192539
Lompoc,34.6391,-120.4579,US,15.31,84,90,1.54,1624192540
Victoria Point,-27.5833,153.3,AU,15.99,86,9,4.1,1624192540
Kruisfontein,-34.0033,24.7314,ZA,28.43,20,42,6.41,1624192540
Bethanien,-26.502,17.1583,NA,22.67,23,0,6.81,1624192540
Philadelphia,39.9523,-75.1638,US,25.0,83,75,2.57,1624192346
Chui,-33.6971,-53.4616,UY,11.82,92,100,5.21,1624192541
Benguela,-12.5763,13.4055,AO,26.83,60,5,4.0,1624192541
Masingbi,8.7833,-11.95,SL,28.14,75,88,1.07,1624192541
Ambilobe,-13.2,49.05,MG,27.78,48,15,3.51,1624192542
Fairbanks,64.8378,-147.7164,US,13.98,92,90,2.06,1624192542
Union,40.6334,-74.2663,US,24.52,79,1,0.0,1624192542
Vila Velha,-20.3297,-40.2925,BR,24.42,68,20,5.66,1624192542
Pellérd,46.0344,18.154,HU,31.79,35,0,1.54,1624192542
Batouri,4.4333,14.3667,CM,28.28,59,100,2.13,1624192543
Borşa,47.6553,24.6633,RO,19.4,91,100,1.82,1624192543
Avera,33.194,-82.5271,US,25.38,83,10,7.47,1624192543
Aras,42.5617,-2.356,ES,22.23,43,40,1.54,1624192543
Morro Bay,35.3658,-120.8499,US,15.21,89,25,1.09,1624192544
Noumea,-22.2763,166.4572,NC,22.78,82,20,1.03,1624192082
Ilulissat,69.2167,-51.1,GL,9.01,66,40,3.6,1624192544
Klaksvík,62.2266,-6.589,FO,10.51,84,61,3.87,1624192544
Mukilteo,47.9445,-122.3046,US,15.91,90,75,2.06,1624192545
Mandera,3.9366,41.867,KE,33.94,28,38,8.82,1624192545
Chicama,-7.8447,-79.1469,PE,16.3,84,100,2.03,1624192545
Barcelos,41.5388,-8.6151,PT,20.47,72,86,6.7,1624192545
Carutapera,-1.195,-46.02,BR,28.22,76,26,3.76,1624192545
Neiafu,-18.65,-173.9833,TO,20.38,94,20,0.0,1624192546
Conde,-7.2597,-34.9075,BR,23.7,88,90,1.54,1624192546
Wajima,37.4,136.9,JP,17.62,82,9,2.01,1624192283
Beringovskiy,63.05,179.3167,RU,5.05,87,100,0.4,1624192546
Teahupoo,-17.8333,-149.2667,PF,22.98,80,100,6.69,1624192548
Makkah al Mukarramah,21.4267,39.8261,SA,39.08,15,37,9.38,1624192549
General Roca,-39.0333,-67.5833,AR,-1.78,65,64,2.07,1624192549
Geraldton,-28.7667,114.6,AU,16.23,77,75,8.23,1624192549
Kibre Mengist,5.8833,38.9833,ET,20.84,58,100,1.98,1624192549
Trelew,-43.249,-65.3051,AR,4.43,46,11,2.37,1624192550
Batagay-Alyta,67.8006,130.4114,RU,22.33,41,100,1.63,1624192550
Tsimmerbude,54.675,20.1347,RU,31.03,55,0,6.12,1624192551
Thinadhoo,0.5333,72.9333,MV,28.93,68,39,4.29,1624192551
Alamosa,37.4695,-105.87,US,10.73,100,1,0.0,1624192551
Laguna,38.421,-121.4238,US,25.12,59,1,1.79,1624192551
Henties Bay,-22.116,14.2845,NA,26.94,34,0,1.64,1624192552
Bulawayo,-20.15,28.5833,ZW,15.54,54,36,4.79,1624192552
Rizhao,35.4275,119.4553,CN,25.53,56,99,0.66,1624192486
Bocaiúva,-17.1078,-43.815,BR,18.84,52,0,2.95,1624192553
Isangel,-19.55,169.2667,VU,23.87,86,100,2.16,1624192553
Daru,-9.0763,143.2092,PG,25.2,85,96,6.91,1624192554
Port Hardy,50.6996,-127.4199,CA,12.1,100,90,1.03,1624192554
Dicabisagan,17.0818,122.4157,PH,28.11,79,100,0.6,1624192554
Yar-Sale,66.8333,70.8333,RU,10.51,52,99,8.76,1624192554
Gerāsh,27.6652,54.1371,IR,42.08,3,0,6.07,1624192554
Tateyama,34.9833,139.8667,JP,25.01,85,100,6.78,1624192555
Buxton,53.2574,-1.9098,GB,14.49,88,100,4.69,1624192499
Tessalit,20.1986,1.0114,ML,41.03,9,5,1.95,1624192555
São Filipe,14.8961,-24.4956,CV,22.8,78,1,5.28,1624192556
Umm Kaddadah,13.6017,26.6876,SD,37.08,19,71,2.67,1624192556
Kingston,17.997,-76.7936,JM,28.53,71,20,0.45,1624192557
Brae,60.3964,-1.353,GB,11.95,63,100,1.8,1624192557
Mayo,38.8876,-76.5119,US,26.18,88,1,0.89,1624192557
Bariloche,-41.1456,-71.3082,AR,-5.14,80,75,2.06,1624192557
Dikson,73.5069,80.5464,RU,0.48,86,1,2.42,1624192558
Yellowknife,62.456,-114.3525,CA,8.29,71,20,2.06,1624192558
Liaozhong,41.5061,122.7242,CN,23.52,55,38,1.14,1624192558
Port Alfred,-33.5906,26.891,ZA,27.9,32,98,4.54,1624192558
Guerrero Negro,27.9769,-114.0611,MX,16.57,89,16,3.1,1624192558
Tahe,52.3333,124.7333,CN,15.46,74,81,0.85,1624192559
Hasaki,35.7333,140.8333,JP,21.22,65,100,4.97,1624192560
Jacareacanga,-6.2222,-57.7528,BR,28.71,60,84,1.65,1624192560
Kilimatinde,-5.85,34.95,TZ,27.13,32,73,2.89,1624192560
San Cristobal,7.7669,-72.225,VE,22.1,72,100,2.62,1624192560
Mezen',65.8522,44.24,RU,10.68,88,100,3.59,1624192561
Pontes e Lacerda,-15.2261,-59.3353,BR,19.43,58,5,2.54,1624192561
Ziro,27.6333,93.8333,IN,20.41,99,83,1.15,1624192562
Point Fortin,10.1833,-61.6833,TT,28.83,79,8,5.64,1624192562
Shelburne,44.0787,-80.2041,CA,18.36,65,12,1.45,1624192562
Saint-Joseph,-21.3667,55.6167,RE,24.2,79,59,8.01,1624192562
Turukhansk,65.8167,87.9833,RU,11.54,86,100,1.34,1624192562
Blackwater,-23.5833,148.8833,AU,12.58,59,1,1.68,1624192563
Muisne,0.6,-80.0333,EC,24.89,85,100,3.35,1624192563
Kyshtovka,56.555,76.6271,RU,12.5,82,100,3.75,1624192563
Markova,48.6758,24.4138,UA,23.77,90,100,1.81,1624192563
Mindelo,16.8901,-24.9804,CV,25.75,57,20,11.32,1624192564
Kota Kinabalu,5.9749,116.0724,MY,27.99,83,20,3.09,1624192564
Haines Junction,60.7522,-137.5108,CA,3.97,81,99,0.0,1624192564
Moranbah,-22.0016,148.0466,AU,12.23,46,0,2.05,1624192564
Port Lincoln,-34.7333,135.8667,AU,11.46,71,0,3.92,1624192564
Dunedin,-45.8742,170.5036,NZ,8.22,94,55,0.45,1624192565
Upernavik,72.7868,-56.1549,GL,1.98,67,22,4.49,1624192565
Cabo San Lucas,22.8909,-109.9124,MX,27.51,85,94,5.5,1624192565
Pagudpud,18.5616,120.7868,PH,28.98,84,100,6.77,1624192565
Ramotswa,-24.8716,25.8699,BW,18.79,37,69,2.37,1624192566
Channel-Port aux Basques,47.5702,-59.1367,CA,10.96,99,100,2.99,1624192566
Lagoa Formosa,-18.7786,-46.4075,BR,22.1,47,99,5.01,1624192566
Jalu,29.0331,21.5482,LY,34.08,15,0,4.7,1624192566
